Date,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,mean Node
20000101,279.8584613,217.2843444,271.1106588,240.9605179,327.5748966,25.2331011,40.4058796,314.7840337,303.1752278,251.4371437,125.0671622
20000102,280.877894,229.3083244,272.6669166,242.1695573,328.3505696,25.2738593,40.3859338,314.8343766,303.2107976,251.472297,125.0142104
20000103,281.8974146,241.2130886,274.2285376,243.379713,329.1262637,25.3179894,40.3678228,314.8851586,303.2465802,251.5071983,124.9612677
20000104,282.9170013,253.0516601,275.7956943,244.5909371,329.9019615,25.3654743,40.3515569,314.9363676,303.2825662,251.541838,124.9083331
20000105,283.9366302,264.8690131,277.3685776,245.8031823,330.6776434,25.4162936,40.3371441,314.9879896,303.3187445,251.5762051,124.8554045
20000106,284.9562752,276.7031813,278.9473938,247.0164014,331.4532877,25.4704251,40.3245904,315.0400098,303.3551033,251.6102881,124.802479
20000107,285.9759091,288.5873034,280.5323613,248.2305487,332.2288712,25.5278443,40.3139002,315.0924125,303.3916299,251.644075,124.749553
20000108,286.9955039,300.5522444,282.1237086,249.4455801,333.0043699,25.5885249,40.3050768,315.1451819,303.4283118,251.6775536,124.696623
20000109,288.0150318,312.6293566,283.721671,250.6614538,333.7797591,25.65244,40.2981225,315.1983025,303.4651363,251.7107124,124.6436858
20000110,289.034466,324.852894,285.3264884,251.8781313,334.5550143,25.7195615,40.2930396,315.2517594,303.5020922,251.7435409,124.5907392
20000111,290.0537821,337.261553,286.9384026,253.0955781,335.3301121,25.789862,40.2898306,315.3055392,303.5391693,251.7760306,124.5377825
20000112,291.0729582,349.8986108,288.5576543,254.3137642,336.1050305,25.8633142,40.2884986,315.3596306,303.5763596,251.8081746,124.4848169
20000113,292.0919758,2.8101491,290.1844791,255.5326643,336.8797491,25.9398911,40.2890475,315.4140236,303.6136568,251.8399684,124.4318453
20000114,293.1108201,16.0409348,291.8191034,256.7522579,337.6542493,26.0195662,40.2914813,315.4687102,303.6510561,251.871409,124.3788725
20000115,294.1294803,29.6277446,293.4617393,257.972529,338.4285139,26.1023131,40.2958041,315.5236834,303.6885543,251.902495,124.325904
20000116,295.1479491,43.59042,295.1125767,259.1934653,339.202527,26.1881044,40.3020191,315.5789365,303.7261481,251.9332253,124.2729458
